"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"m6",0.749,0.693,1,1,0,21,"apc",20
"rh",0,0.001,1,2.0664738220014e-118,0,21,"apc",20
"rh",0,0,5,2.0664738220014e-118,0,21,"apc",20
"rh",0,0,10,2.0664738220014e-118,0,21,"apc",20
"apc",1,1,10,3.95981536038878e-92,0,22,"apc",20
"apc",0,0.267,1,3.95981536038878e-92,0,22,"apc",20
"apc",1,1,5,3.95981536038878e-92,0,22,"apc",20
"cbd",0,0,10,3.45715053221534e-66,0,22,"apc",20
"cbd",0,0,5,3.45715053221534e-66,0,22,"apc",20
"cbd",0,0,1,3.45715053221534e-66,0,22,"apc",20
"lc",0.222,0.001,1,1.39432615095291e-145,0,22,"apc",20
"lc",0,0,5,1.39432615095291e-145,0,22,"apc",20
"lc",0,0,10,1.39432615095291e-145,0,22,"apc",20
"m6",0,0,5,1,0,22,"apc",20
"m6",0,0,10,1,0,22,"apc",20
"m6",0.694,0.732,1,1,0,22,"apc",20
"rh",0.084,0.001,1,1.07781800325319e-122,0,22,"apc",20
"rh",0,0,5,1.07781800325319e-122,0,22,"apc",20
"rh",0,0,10,1.07781800325319e-122,0,22,"apc",20
"apc",0.891,1,10,4.51044244950917e-89,0,23,"apc",20
"apc",0,0.202,1,4.51044244950917e-89,0,23,"apc",20
"apc",0.331,0.001,5,4.51044244950917e-89,0,23,"apc",20
"cbd",0,0,10,3.06870825362057e-92,0,23,"apc",20
"cbd",0,0,5,3.06870825362057e-92,0,23,"apc",20
"cbd",0,0,1,3.06870825362057e-92,0,23,"apc",20
"lc",0.125,0,1,7.60252861363727e-152,0,23,"apc",20
"lc",0,0,5,7.60252861363727e-152,0,23,"apc",20
"lc",0,0,10,7.60252861363727e-152,0,23,"apc",20
"m6",0.669,0.999,5,1,0,23,"apc",20
"m6",0.109,0,10,1,0,23,"apc",20
"m6",0.3,0.06,1,1,0,23,"apc",20
"rh",0.575,0.738,1,1.7436976969681e-122,0,23,"apc",20
