t,k_t
1966,0.03192762847721872
1967,0.01806191259835514
1968,0.023508243879307344
1969,0.06889144943871355
1970,0.038988159661119556
1971,0.013899303644357817
1972,0.007566696279201737
1973,-0.010892719043690283
1974,-0.02970690024216281
1975,-0.055798510198121605
1976,-0.03358407300195434
1977,-0.05559142823569608
1978,-0.10615204544490492
1979,-0.1083351117803122
1980,-0.1522107373554851
1981,-0.14544995575904043
1982,-0.16951357797232847
1983,-0.19637272939179135
1984,-0.18556243445555612
1985,-0.22678086056805036
1986,-0.21758529156197204
1987,-0.244541423670297
1988,-0.2998488653364191
1989,-0.31981299633868543
1990,-0.31697995628006115
1991,-0.3580225524976217
1992,-0.3807686286361059
1993,-0.3776381588284924
1994,-0.3645686011153354
1995,-0.4041986966855996
1996,-0.40531817027545347
1997,-0.43445130022096723
1998,-0.4488961566424333
1999,-0.45832942988454023
2000,-0.45789265521269523
2001,-0.47538542356893776
2002,-0.5013301035676525
2003,-0.5082321816006372
2004,-0.519393225868962
2005,-0.5660362240008883
2006,-0.5835139924361004
2007,-0.6151035970804652
2008,-0.6293755405681805
2009,-0.6351434829754994
2010,-0.6554468694997976
2011,-0.6790968351648302
2012,-0.7095444204549641
2013,-0.6780235146361892
2014,-0.7012158989059615
2015,-0.7519868745693012
2016,-0.7521866396679817
2017,-0.7834343949731055
2018,-0.7913031997616142
2019,-0.80482400041307
1960,0
1961,0.0929767596420596
1962,0.017173259655681908
1963,0.04419008003345752
1964,0.07128995027548397
1965,0.0032776101608505293
1966,0.03770578397758613
1967,0.02611068004384445
1968,0.010631110729605268
1969,0.047178219437486645
1970,0.04399673926386456
1971,5.828482625487767e-4
1972,-0.006648926794071265
1973,-0.02862597179961997
1974,-0.02723955175979617
1975,-0.06252722423664774
1976,-0.051998903314061304
1977,-0.04363346597742257
1978,-0.11162178983427064
1979,-0.11399577803065587
1980,-0.1464219454868593
1981,-0.140996154710262
1982,-0.15886452664117082
1983,-0.19056140228324822
1984,-0.19489851404473524
1985,-0.22731195251942218
1986,-0.2142198231856666
1987,-0.24995618633523406
1988,-0.3082217536719067
1989,-0.322146817244136
1990,-0.3203415793835435
1991,-0.36444113338519374
1992,-0.3876231111481649
1993,-0.3836583341856924
1994,-0.37010112071142415
1995,-0.4080266371365626
1996,-0.41201497180555113
1997,-0.43718356288971283
1998,-0.4490301768820437
1999,-0.4592986161125362
2000,-0.4651309654292855
2001,-0.4731986062918962
2002,-0.5048453917010195
2003,-0.5111618453423328
2004,-0.5213833255885502
2005,-0.5786322901378541
2006,-0.5875336029946154
2007,-0.6165467600393439
2008,-0.63403140243572
2009,-0.622099743461018
2010,-0.6491201187070172
2011,-0.6701405794912217
2012,-0.697378276938479
2013,-0.6868833243131683
2014,-0.7000060917076525
2015,-0.7628945297677491
2016,-0.7424855414026835
2017,-0.7728030885499618
2018,-0.7890169146535683
2019,-0.798517034431538
1960,0
1961,0.09027043598167843
1962,0.025357066383909287
